Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      407    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      376    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      362    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      362    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      357    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      354    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:81(groups)
      339    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      335    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      333    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:168(__setitem__)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      302    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:423(_simple)
      301    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      280    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:249(_compile_charset)
      280    0.002    0.000    0.003    0.000 C:\Program Files\Python310\lib\sre_compile.py:276(_optimize_charset)
   270/64    0.001    0.000    0.022    0.000 C:\Program Files\Python310\lib\sre_parse.py:435(_parse_sub)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      266    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
  225/222    0.003    0.000    0.025    0.000 {built-in method builtins.__build_class__}
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      210    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      201    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      195    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3392(<genexpr>)
      193    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      189    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:432(_uniq)
      188    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2656(<genexpr>)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      179    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      174    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:420(_parse_letter_version)
      170    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2061(setWhitespaceChars)
      170    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      165    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      158    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      158    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      150    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
      150    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
    148/3    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
      145    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:359(__call__)
      145    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:355(_escape)
      144    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:678(__new__)
      142    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
      142    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      140    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:65(_combine_flags)
