Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      764    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
    111/5    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     69/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:1022(_find_and_load)
    148/3    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
       67    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      133    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      471    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
     1561    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:160(__len__)
      280    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:249(_compile_charset)
      880    0.000    0.000    0.004    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
       65    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
      110    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      968    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:286(tell)
      615    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE2493B920}
     2421    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     2424    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3500    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
     2573    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       64    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_compile.py:536(_compile_info)
       88    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\ntpath.py:180(split)
     1628    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      767    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:111(__init__)
       64    0.000    0.000    0.033    0.001 C:\Program Files\Python310\lib\sre_compile.py:759(compile)
       67    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       26    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\traceback.py:338(extract)
     65/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:664(_load_unlocked)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      515    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       55    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        8    0.000    0.000    0.000    0.000 {built-in method io.open}
      785    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      142    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     69/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       83    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
      908    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1079    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1301    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method pygame.image.load}
       84    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python310\lib\locale.py:1(<module>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       64    0.000    0.000    0.023    0.000 C:\Program Files\Python310\lib\sre_parse.py:937(parse)
      116    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:295(_class_escape)
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\veeti\Desktop\Connect It\src\grid.py:180(Init)
       82    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
      302    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:423(_simple)
      471    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\copyreg.py:100(__newobj__)
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:413(<listcomp>)
      139    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      189    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:432(_uniq)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\collections\__init__.py:328(namedtuple)
        1    0.000    0.000    0.020    0.020 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1(<module>)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      301    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     55/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap_external>:877(exec_module)
   131/65    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     56/1    0.000    0.000    2.484    2.484 {built-in method builtins.exec}
      357    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       69    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
      145    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:355(_escape)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1610    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      193    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      108    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:84(opengroup)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       30    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:463(normpath)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       55    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
       52    0.000    0.000    0.005    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:986(__and__)
       12    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2653(__init__)
      120    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
      333    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:168(__setitem__)
    80/63    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:461(_get_literal_prefix)
      407    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
       26    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
  112/108    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
       57    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:267(getuntil)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
    67/49    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      468    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
        1    0.000    0.000    0.116    0.116 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:1(<module>)
    87/79    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
       64    0.000    0.000    0.010    0.000 C:\Program Files\Python310\lib\sre_compile.py:598(_code)
    61/11    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
      445    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       44    0.000    0.000    0.017    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:411(_mk_bitmap)
   131/65    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      145    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:359(__call__)
      619    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      376    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      110    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
       27    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1039(_trim_arity)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:76(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       34    0.000    0.000    0.001    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:33(update_text)
      354    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:81(groups)
       26    0.000    0.000    0.013    0.001 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2779(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\veeti\Desktop\Connect It\src\levels.py:4(Init)
    77/62    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       32    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:305(__str__)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      836    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
        1    0.000    0.000    0.036    0.036 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:1(<module>)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:224(__init__)
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2826(__str__)
       19    0.000    0.000    0.009    0.000 {built-in method builtins.sorted}
       48    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3540(__init__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       64    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\genericpath.py:121(_splitext)
       12    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4757(<lambda>)
       55    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      104    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\traceback.py:301(line)
       57    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      528    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       46    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:492(_get_charset_prefix)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       87    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       26    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\traceback.py:216(extract_stack)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
     22/3    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3397(parseImpl)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\markers.py:1(<module>)
      144    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:678(__new__)
        1    0.000    0.000    0.008    0.008 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:5399(pyparsing_common)
       13    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\ntpath.py:638(realpath)
      339    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
       39    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:61(isabs)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     85/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       69    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       65    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
       86    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2635(key)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      210    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
      139    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      170    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      266    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
       26    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:670(add)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\_collections_abc.py:975(clear)
       20    0.000    0.000    0.018    0.001 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:596(add_entry)
       67    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\email\quoprimime.py:55(<listcomp>)
       25    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python310\lib\email\quoprimime.py:1(<module>)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:921(fix_flags)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       32    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       26    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2027(<listcomp>)
       32    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:1312(safe_version)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      201    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      362    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      128    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:595(isstring)
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
      140    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:65(_combine_flags)
      491    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      112    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:363(__new__)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       78    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\linecache.py:26(getline)
       48    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1948(__or__)
      108    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:96(closegroup)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       36    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3781(__str__)
       78    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       35    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2742(__str__)
      362    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
    54/10    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3762(streamline)
    23/10    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3547(parseImpl)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       26    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1047(extract_stack)
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:203(splitext)
       26    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\linecache.py:52(checkcache)
       36    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2763(_get_metadata)
    19/10    0.000    0.000    0.073    0.007 {built-in method builtins.__import__}
      170    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2061(setWhitespaceChars)
       18    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:663(__iadd__)
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      133    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\abc.py:117(__instancecheck__)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      165    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      102    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
       61    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3292(<listcomp>)
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:44(normcase)
       76    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1351(preParse)
      127    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:34(_get_bothseps)
       78    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\linecache.py:36(getlines)
        1    0.000    0.000    0.006    0.006 C:\Program Files\Python310\lib\shutil.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:104(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\tempfile.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\veeti\Desktop\Connect It\src\game.py:36(Start)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
